Year,S035
1987,-2.636779683484747e-17
1988,-2.544261098099317e-17
1989,-1.295260195396016e-17
1990,2.4517425127138876e-17
1991,-1.9891495857867388e-17
1992,-1.1564823173178714e-17
1993,-1.572815951552305e-17
1994,1.0639637319324419e-17
1995,-1.8503717077085946e-18
1996,-4.625929269271485e-18
1997,2.775557561562892e-17
1998,-1.295260195396016e-17
1999,-1.1102230246251566e-17
2000,-4.625929269271485e-18
2001,2.474872159060245e-17
2002,-1.1102230246251566e-17
2003,-1.8503717077085946e-18
2004,-5.551115123125783e-18
2005,-9.251858538542973e-19
2006,0.0
2007,0.0
2008,-1.3877787807814457e-17
2009,6.938893903907228e-18
2010,0.0
2011,-1.3877787807814457e-17
2012,0.0
2013,1.3877787807814457e-17
2014,0.0
2015,3.469446951953614e-18
2016,3.469446951953614e-18
2017,6.938893903907228e-18
2018,0.0
2019,0.0
2020,6.938893903907228e-18
2021,0.0
2022,-1.3877787807814457e-17
2023,0.0
2024,0.0
