,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S091,S091A,S091B,S091C,S091D,S091E,S091F,S091G,S091H,S091I,S091J,S091K,S091L,S091M,S094-S094-A-EXT,S095-S095-A-EXT
1947,100.0,32.232,41.084,32.232,41.084,40.21509937740957,45.32756680421016,78.45389932820562,48.57504940621847,1.0716447590499536,69.66369845249416,70.94211907722061,76.0247501050012,100.0,,
1948,99.0580402824274,33.722,41.229,33.722,41.229,42.07413691998653,45.48754385577792,81.79194256469961,50.341836234006,1.106716959561919,72.88406674159248,71.19249896394528,78.7899459969926,95.91886054808695,,
1949,98.59017384587372,34.493,42.32,34.493,42.32,43.03609527255487,46.69123325757408,81.50519848771268,51.24961384737536,1.0976281899570908,74.55044523212588,73.07639176681863,80.21070762360839,96.25631344242778,,
1950,96.97431975694532,37.325,44.741,37.325,44.741,46.56951427965415,49.36229837375053,83.4245993607653,54.5484676205229,1.1050633665293477,80.67130630241205,77.25687249620114,85.3737396081806,94.04168546130602,,
1951,96.34163557144,38.51,45.439,38.51,45.439,48.0480105802942,50.132394801297465,84.75098483681418,55.91309467168757,1.1153086720333676,83.23247168669491,78.46214946815859,87.50951572821555,92.56989695077472,,
1952,95.77910903473364,39.602,47.317,39.602,47.317,49.41047299404858,52.20437344160285,83.6950778789864,57.16285464952826,1.0949821036253236,85.59263421803406,81.70500069070313,89.46551353301463,93.7377696710445,,
1953,95.07942499470911,41.013,49.951,41.013,49.951,51.17094411658287,55.11043933008231,82.10646433504834,58.76707581686296,1.0663510676240364,88.64225814818018,86.25328083989503,91.9762781096979,95.55142821405892,,
1954,94.66236288872452,41.883,51.163,41.883,51.163,52.25642241325532,56.44762682318673,81.86189238316753,59.75044157668794,1.0585111357089778,90.52260741765367,88.34611134134548,93.5153426513994,95.83689925098447,,
1955,93.86062639271128,43.619,52.664,43.619,52.664,54.42238830178791,58.10366512941592,82.82507975087346,61.699997955842974,1.0618951114084945,94.27466067260308,90.93797485840588,96.56659094352976,94.72239515396092,,
1956,93.848012937876,43.647,55.323,43.647,55.323,54.45732323547393,61.03731326816567,78.89485385825064,61.73130767481058,1.011370002535922,94.33517766058615,95.52942395358475,96.61559374619218,99.44108581424426,,
1957,93.23863607772168,45.026,57.027,45.026,57.027,56.17786871950992,62.91731944658972,78.955582443404,63.26817038569562,1.0055763809105651,97.31563931875162,98.47181931205968,99.02093568550006,99.36460083039978,,
1958,92.70881159786296,46.268,57.912,46.268,57.912,57.72748256372506,63.89373110615856,79.893631717088,64.64392795379587,1.0117413216390645,100.0,100.0,101.17413216390644,98.1979384865359,,
1959,91.98717322142612,48.027,59.872,48.027,59.872,59.92214500492832,66.05617952735055,80.21612773917691,66.57922401048225,1.0079181764200449,103.8017636379355,103.38444536538196,104.20306164287352,97.80314949046009,,
1960,91.65453313052691,48.865,61.319,48.865,61.319,60.96769766310247,67.65264017299587,79.68981881635382,67.49597096416646,0.9976842114597628,105.61295063542838,105.88306395911036,105.63786117298866,98.44908734076006,,
1961,90.99930830756192,50.568,63.055,50.568,63.055,63.09249023693371,69.56795163176592,80.1966537150107,69.34894605300826,0.996851918539777,109.29368029739778,108.88071556844868,108.53795020639184,97.8268988716185,,
1962,90.15056379413502,52.882,65.192,52.882,65.192,65.9796129708418,71.92568238487168,81.11731500797644,71.84595394364867,0.998891516373854,114.2949770899974,112.5707970714187,112.44601418608282,96.71658796952424,,
1963,89.42921048092502,54.95,66.633,54.95,66.633,68.55980735879425,73.51552329045212,82.46664565605631,74.05818939097138,1.007381653237715,118.76458891674592,115.05905511811022,115.9083811648512,95.13409779683938,,
1964,88.80856738480203,56.808,68.257,56.808,68.257,70.87798974410161,75.30726626801122,83.22662877067553,76.03094011981962,1.0096096152160523,122.78032333362152,117.86330984942671,118.9959309051701,94.2653817498474,,
1965,88.16452560203409,58.817,69.676,58.817,69.676,73.38457123607282,76.87283479335377,84.41500660198633,78.14887687095512,1.016599388861248,127.12241722140573,120.31357922364968,122.3107111104716,92.93833227794777,,
1966,87.43274172265934,61.205,72.3,61.205,72.3,76.36402200900822,79.7678677817251,84.65421853388658,80.64677335610037,1.0110182909336412,132.28365176796058,124.84459179444674,126.22016582832964,92.675711484834,,
1967,87.03765478234827,62.543,74.122,62.543,74.122,78.03341276871826,81.778062181425,84.37845713823157,82.03739970798154,1.0031712358991975,135.17549926515088,127.99074457798038,128.3966334219511,92.9785895464761,,
1968,86.42793789448072,64.678,76.896,64.678,76.896,80.6972014622765,84.83858867141817,84.11100707449022,84.24356361655052,0.992986386688112,139.7899195988588,132.78077082469954,131.84949784288068,93.27423610411113,,
1969,86.3397637874167,64.994,78.008,64.994,78.008,81.09146714244719,86.06544716344136,83.3170956824941,84.56879039787314,0.9826102481902405,140.47289703466757,134.70092554220196,132.35850987847817,94.16302703010524,,
1970,85.98484540779978,66.285,79.452,66.285,79.452,82.70221712061286,87.65859793905425,83.42772995015858,85.89406806213341,0.979870430072956,143.26316244488632,137.19436386241193,134.4327003214472,94.03815658783422,,
1971,85.26111243240834,69.015,80.887,69.015,80.887,86.10837315499882,89.24181910456981,85.32273418472684,88.67893804626954,0.993692631280401,149.1635687732342,139.6722613620666,138.79129690975583,91.9495842202502,,
1972,84.69565780341331,71.243,83.328,71.243,83.328,88.88819573544272,91.93495002096252,85.49707181259599,90.9346377491432,0.9891193471950416,153.97899195988583,143.88727724823872,142.32168974144983,91.76208923291718,,
1973,84.16583581535411,73.41,85.063,73.41,85.063,91.59191006749928,93.84915818972176,86.30074180313414,93.114445477148,0.9921713446689794,158.6625745655745,146.88320209973756,145.73330413658206,90.90756080309431,,
1974,84.4453475200149,72.257,83.989,72.257,83.989,90.15333940535751,92.6642247181094,86.03150412554025,91.95633426408348,0.9923606930702829,156.17057145327226,145.0286641801354,143.92074570085646,91.1920582182579,,
1975,83.8374896592347,74.793,84.844,74.793,84.844,93.31744625634757,93.60753767735386,88.15355240205555,94.49856548148584,1.0095187612690246,161.65168150773755,146.50504213289128,147.89958865366268,88.9968664795138,,
1976,83.29560935126483,77.145,87.149,77.145,87.149,96.25198068597236,96.15062115227607,88.52080918886045,96.8402472559136,1.0071723520386346,166.73510849831416,150.48521895289403,151.5645519198352,88.62763461732828,,
1977,83.00238816064548,78.455,88.335,78.455,88.335,97.8864365119964,97.4591231050994,88.81530537159676,98.13800191444336,1.0069657799876963,169.56643900752138,152.533153750518,153.5956661403736,88.33376071833588,,
1978,82.81199948646882,79.32,89.736,79.32,89.736,98.96567642765348,99.00483241024736,88.39261834715163,98.99242720942804,0.9998747010573392,171.4359816719979,154.95234148363036,154.93292611907964,88.75616628991251,,
1979,82.81527959573879,79.305,89.864,79.305,89.864,98.94696128460744,99.14605353163132,88.2500222558533,98.97762726766798,0.998301230780612,171.40356185700702,155.17336648708385,154.9097627484268,88.89958021852176,,
1980,82.84899884177848,79.151,89.593,79.151,89.593,98.75481914933437,98.84706193870122,88.34507160157601,98.82564726781654,0.9997833555144212,171.07071842310015,154.70541511258463,154.6718990375113,88.80393428398791,,
1981,82.49649165103251,80.779,89.645,80.779,89.645,100.7860360079352,98.90443301926344,90.10987785152548,100.42918740847756,1.01541644133299,174.58934901011497,154.7952065202376,157.1815977401849,87.06470500101503,,
1982,82.6318763440464,80.149,90.638,80.149,90.638,100.0,100.0,88.42759107659039,99.80946306439635,0.9980946306439636,173.22771678049625,156.50987705484184,156.2116679311845,88.72106361039938,,
1983,82.02878784694788,83.002,90.592,83.002,90.592,103.55962020736376,99.94924865950264,91.62177675732956,102.607911443241,1.026600127758795,179.39396559176967,156.43044619422574,160.59151604835745,85.62800472206459,,
1984,81.57799852412178,85.215,90.769,85.215,90.769,106.32072764476165,100.14453099141642,93.88117088433276,104.76472826284572,1.0461352929180456,184.17696896343045,156.7360823318138,163.96714740101896,83.5672356759009,,
1985,81.19899674308206,87.131,91.966,87.131,91.966,108.71127524984716,101.46516913435865,94.74262227344887,106.62262204134038,1.0508297867236818,188.31805999827097,158.80301146567203,166.87493466955053,82.8073969725787,,
1986,80.71144159975239,89.673,94.926,89.673,94.926,111.88286815805562,104.73090756636287,94.46621578914102,109.07439185959323,1.0414728029591276,193.81213797873255,163.91421467053462,170.71219659776585,83.04968995828449,,
1987,80.62499979007822,90.133,95.208,90.133,95.208,112.45679921146863,105.04203534941192,94.66956558272412,109.51649840576265,1.0425968807769848,194.80634563845425,164.4011603812681,171.40413700962694,82.8712996043602,,
1988,80.36994574225538,91.507,96.528,91.507,96.528,114.17110631448926,106.49837816368412,94.79840046411404,110.83425062511417,1.040713037477115,197.77600069162276,166.6804807293825,173.4665493880214,82.75867413807721,,
1989,80.20501371614411,92.409,95.006,92.409,95.006,115.29651024966005,104.81917076722787,97.26648843230954,111.69707093006896,1.0656168152495202,199.72551223307687,164.05235529769303,174.81694838651043,80.65871462276944,,
1990,79.85111592947858,94.381,96.215,94.381,96.215,117.75692772211757,106.15304839029989,98.09385230993088,113.57730541932024,1.0699391787763184,203.98763724388343,166.14000552562507,177.7597010739803,79.978405864139,,
1991,79.58420925194869,95.902,97.464,95.902,97.464,119.65464322698972,107.53105761380436,98.397356972831,115.02190772384792,1.06966220063553,207.275006483963,168.29672606713632,180.020646364728,79.73171408442191,,
1992,78.8898429333573,100.0,100.0,100.0,100.0,124.76762030717788,110.3290010812242,100.0,118.89048207175,1.0775995514019276,216.132099939483,172.67578394805915,186.07534732040472,78.45389932820561,,
1993,78.82555935954778,100.39,99.763,100.39,99.763,125.25421402637588,110.06752134866171,100.6284895201628,119.25689893833008,1.0834885484570795,216.97501512924703,172.26654234010226,186.64882590779743,77.96390435979455,,
1994,78.6669757920789,101.36,99.036,101.36,99.036,126.4644599433555,109.2654295108012,102.3466214305909,120.16695414941864,1.0997710317657223,219.07149649866,171.01118939079984,188.0731521998033,76.65509445410588,,
1995,78.64505042581457,101.495,98.69,101.495,98.69,126.6328962307702,108.88369116706016,102.842233255649,120.29346639295773,1.1047886520341377,219.3632748335783,170.41373117833956,188.2711563566256,76.28568229667088,,
1996,78.16688550316006,104.494,99.48,104.494,99.48,130.37467716378245,109.75529027560184,105.04020908725371,123.09492809204478,1.1215398162853594,225.8450765107634,171.77786987152922,192.65572061760523,74.68939752684263,,
1997,77.85958434933245,106.478,100.512,106.478,100.512,132.85006675067686,110.89388556676008,105.93560967844635,124.93898189363348,1.126653478278728,230.1331373735627,173.5598839618732,195.54184695529688,74.05809960063678,,
1998,77.40798068271307,109.477,105.177,109.477,105.177,136.59184768368914,116.0407334671992,104.08834631145592,127.7128577217032,1.100586439828074,236.61493905074784,181.61520928305012,199.88323660346276,75.37241401977293,,
1999,76.91888771579359,112.841,108.102,112.841,108.102,140.78903043082258,119.267856748825,104.38382268598174,130.8054738352766,1.0967370203587168,243.885622892712,186.66597596353088,204.7234862805947,75.15905943032837,,
2000,76.30528409610686,117.24,111.928,117.24,111.928,146.27755804813535,123.4890443301926,104.74590808376814,134.82065104954123,1.0917620407608748,253.3932739690499,193.2725514573836,211.0076352021743,74.89924977829577,,
2001,75.83677143603256,120.739,113.976,120.739,113.976,150.6431770826835,125.74858227233612,105.9337053414754,137.99184040176786,1.0973629913609386,260.9557361459324,196.80895151263988,215.9708597585204,74.0594309198483,,
2002,75.1409210069637,126.172,115.632,126.172,115.632,157.42180189397246,127.57563053024118,109.11512384115125,142.87804457140524,1.1199477829548072,272.6981931356445,199.6684624948197,223.61825189706843,71.90011482039654,,
2003,74.55039914659623,131.016,118.55,131.016,118.55,163.46554542165217,130.7950307817913,110.5153943483762,147.19745649815297,1.1254055725077678,283.16763205671305,204.7071418704241,230.3785581931135,70.98911404224503,,
2004,74.0996949262957,134.865,119.477,134.865,119.477,168.26785112727543,131.81778062181425,112.879466340802,150.60579165672232,1.1425301726844497,291.48655658338373,206.30784638762265,235.71293935940733,69.50236555100302,,
2005,73.83897460537058,137.154,120.182,137.154,120.182,171.12378195610674,132.59560007943688,114.12191509543858,152.6230512295437,1.1510415966903016,296.4338203509985,207.52521066445644,238.8701498367072,68.74569118700444,,
2006,73.68766247387349,138.504,120.84,138.504,120.84,172.80814483025364,133.32156490655132,114.61767626613704,153.809476017944,1.1536728969972203,299.3516037001815,208.66141732283464,240.7270218143806,68.44834224874637,,
2007,73.41494442094628,140.978,122.433,140.978,122.433,175.89489575665326,135.07910589377525,115.14706002466654,155.97745002747715,1.154711892675216,304.6987118526844,211.41214256112727,244.12011527128183,68.13365387826609,,
2008,73.09467106245586,143.952,121.402,143.952,121.402,179.6054847845887,133.94161389262783,118.5746528063788,158.57306325111023,1.183896913309017,311.12648050488457,209.63185522862275,248.1825063364092,66.16414003447551,,
2009,72.5307621858917,149.375,124.007,149.375,124.007,186.37163283384692,136.81568437079372,120.45690969058198,163.27743008489986,1.19341163870065,322.84732428460273,214.1300594004697,255.54530508418208,65.13026071292246,,
2010,72.48122291409261,,,149.86311870346037,123.93578730143494,186.9806469244287,136.7371161118239,120.9199715163509,163.69909370163433,1.1971811191904973,323.902305488589,214.0070923149519,256.20525029231817,64.88084502864525,,
2011,72.33374070964155,,,151.32774857643452,123.17992033402123,188.8080307632466,135.9031756371734,122.85098753602546,164.96259979480652,1.213824467466561,327.06784078938904,212.70189310336588,258.1827621253225,63.86102456457616,,
2012,72.43030412802752,,,150.36684187472625,122.92676488937946,187.609130338153,135.62387176391738,122.32229653976484,164.1339358561922,1.21021420286469,324.9910129565277,212.26475495472343,256.8858212137994,64.13703923773342,,
2013,,,,,,,,,,,,,,,121.1042163593811,186.8542837423567
2014,,,,,,,,,,,,,,,121.13453095553788,188.78492070333152
2015,,,,,,,,,,,,,,,123.07056452619824,194.2385029491825
2016,,,,,,,,,,,,,,,122.1861953072892,194.02999809145115
2017,,,,,,,,,,,,,,,122.12142798838704,196.82711042818696
2018,,,,,,,,,,,,,,,121.55003318349668,198.66726414901424
2019,,,,,,,,,,,,,,,121.24876034440317,202.4026483455412
2020,,,,,,,,,,,,,,,122.86528511398676,215.98496950247576
2021,,,,,,,,,,,,,,,120.5522471464645,216.29084219471375
2022,,,,,,,,,,,,,,,117.35248723378702,207.4588911455268
2023,,,,,,,,,,,,,,,114.8918296189964,207.36299858123996
2024,,,,,,,,,,,,,,,114.28502122105294,212.2648297648867
2025,,,,,,,,,,,,,,,113.38509967022831,215.4651826283672
